ID	age	geno	length
3372	34	m438;w453	68
3372	43	m438;w453	77
3372	45	m438;w453	76
3372	50	m438;w453	77
3372	51	m438;w453	77
3372	52	m438;w453	78
3372	54	m438;w453	80
3372	56	m438;w453	81
3372	38	m438;w453	72
3372	58	m438;w453	80
3372	61	m438;w453	82
3372	65	m438;w453	82
3371	69	m438;w453	94
3371	71	m438;w453	94
3371	79	m438;w453	89
3372	67	m438;w453	82
3208	35	m424	86
3208	45	m424	94
3055	79	m438;w453	91
3055	87	m438;w453	91
3058	105	m438;w453	91
3372	69	m438;w453	82
3208	49	m424	97
3208	55	m424	98
3366	52	m438;w453	90
3208	63	m424	102
3208	70	m424	104
3208	77	m424	106
3208	84	m424	106
3365	31	m438	78
3373	58	m438;w453	90
3375	43	m438;w453	90
3375	45	m438;w453	90
3376	51	m438;w453	90
3047	75	m424;w453	92
3365	34	m438	81
3181	62	m438;w453	90
3045	83	m424;w453	92
3047	83	m424;w453	92
3179	68	m438;w453	90
3179	76	m438;w453	90
3180	90	m438;w453	90
3148	77	m438;w453	90
3148	95	m438;w453	90
3180	97	m438;w453	90
3209	45	m424;w453	92
3372	71	m438;w453	83
3377	43	m438;w453	85
3377	31	m438;w453	78
3377	36	m438;w453	83
3377	44	m438;w453	86
3377	45	m438;w453	87
3377	47	m438;w453	89
3377	40	m438;w453	85
3377	49	m438;w453	90
3377	41	m438;w453	85
3377	51	m438;w453	92
3377	54	m438;w453	94
3377	38	m438;w453	83
3377	56	m438;w453	94
3377	58	m438;w453	94
3372	79	m438;w453	89
3373	72	m438;w453	93
3373	64	m438;w453	92
3378	43	m438;w453	93
3378	31	m438;w453	84
3378	36	m438;w453	87
3378	44	m438;w453	93
3378	45	m438;w453	94
3378	47	m438;w453	96
3378	40	m438;w453	92
3378	49	m438;w453	96
3378	41	m438;w453	92
3378	51	m438;w453	97
3378	54	m438;w453	97
3378	38	m438;w453	89
3365	38	m438	84
3378	56	m438;w453	98
3378	58	m438;w453	99
3373	62	m438;w453	92
3373	60	m438;w453	91
3374	72	m438;w453	98
3366	51	m438;w453	89
3365	43	m438	86
3365	45	m438	91
3373	56	m438;w453	89
3375	44	m438;w453	89
